SSACC R  222372
222372	  691.0	  488.0	  677.0	...
222373	  690.6	  488.1	  677.0	...
222374	  691.0	  488.3	  677.0	...
222375	  691.3	  489.3	  677.0	...
222376	  692.1	  491.1	  678.0	...
222377	  692.7	  494.3	  679.0	...
222378	  694.5	  497.6	  682.0	...
222379	  695.8	  503.8	  685.0	...
222380	  700.5	  511.2	  687.0	...
222381	  706.8	  523.3	  687.0	...
222382	  715.9	  535.4	  687.0	...
222383	  724.9	  550.2	  687.0	...
222384	  735.9	  564.8	  690.0	...
222385	  746.9	  583.4	  692.0	...
222386	  759.2	  603.4	  697.0	...
222387	  770.5	  625.3	  698.0	...
222388	  783.5	  649.2	  700.0	...
222389	  798.9	  673.1	  701.0	...
222390	  816.0	  700.0	  702.0	...
222391	  831.4	  721.8	  705.0	...
222392	  844.3	  744.4	  707.0	...
222393	  854.6	  766.0	  708.0	...
222394	  866.3	  786.1	  708.0	...
222395	  873.9	  803.7	  706.0	...
222396	  882.3	  822.3	  706.0	...
222397	  887.3	  844.0	  706.0	...
222398	  895.4	  867.3	  705.0	...
222399	  902.8	  888.6	  704.0	...
222400	  913.9	  911.4	  704.0	...
222401	  925.5	  934.3	  706.0	...
222402	  938.2	  958.0	  707.0	...
222403	  950.3	  982.1	  706.0	...
222404	  963.6	 1006.4	  706.0	...
222405	  977.5	 1031.5	  707.0	...
222406	  993.9	 1057.2	  708.0	...
222407	 1011.8	 1084.6	  708.0	...
222408	 1029.7	 1109.8	  708.0	...
222409	 1047.2	 1136.1	  709.0	...
222410	 1064.8	 1162.1	  710.0	...
222411	 1082.1	 1188.8	  711.0	...
222412	 1098.4	 1215.0	  711.0	...
222413	 1115.4	 1243.1	  711.0	...
222414	 1134.0	 1270.2	  712.0	...
222415	 1152.0	 1298.2	  713.0	...
222416	 1167.2	 1324.1	  714.0	...
222417	 1180.5	 1352.1	  714.0	...
222418	 1194.7	 1378.8	  716.0	...
222419	 1208.2	 1406.8	  718.0	...
222420	 1222.1	 1432.2	  720.0	...
222421	 1236.2	 1462.2	  718.0	...
222422	 1249.9	 1491.3	  716.0	...
222423	 1263.0	 1518.8	  715.0	...
222424	 1275.9	 1543.4	  715.0	...
222425	 1289.7	 1568.6	  713.0	...
222426	 1304.1	 1598.8	  710.0	...
222427	 1317.1	 1627.5	  706.0	...
222428	 1332.7	 1653.7	  703.0	...
222429	 1347.5	 1679.8	  702.0	...
222430	 1361.6	 1704.6	  700.0	...
222431	 1375.4	 1729.9	  698.0	...
222432	 1390.1	 1754.6	  696.0	...
222433	 1405.0	 1778.8	  695.0	...
222434	 1418.1	 1807.1	  693.0	...
222435	 1430.7	 1834.8	  691.0	...
222436	 1443.1	 1862.9	  689.0	...
222437	 1456.3	 1889.9	  686.0	...
222438	 1468.4	 1915.6	  684.0	...
222439	 1478.5	 1940.7	  683.0	...
222440	 1489.9	 1961.9	  683.0	...
222441	 1502.8	 1985.6	  680.0	...
222442	 1516.6	 2006.9	  677.0	...
222443	 1524.7	 2024.7	  674.0	...
222444	 1530.4	 2039.7	  674.0	...
222445	 1541.0	 2062.3	  671.0	...
222446	 1553.9	 2087.2	  667.0	...
222447	 1568.7	 2111.1	  663.0	...
222448	 1579.4	 2131.6	  661.0	...
222449	 1590.6	 2152.4	  660.0	...
222450	 1602.2	 2176.2	  658.0	...
222451	 1615.0	 2198.0	  657.0	...
222452	 1626.4	 2219.1	  655.0	...
222453	 1635.9	 2235.0	  655.0	...
222454	 1644.0	 2252.5	  654.0	...
SBLINK R 222455
222455	   .	   .	    0.0	...
222456	   .	   .	    0.0	...
222457	   .	   .	    0.0	...
222458	   .	   .	    0.0	...
222459	   .	   .	    0.0	...
